pair_id,version,analyst_claims,refuter_decisions,final_findings,analyst_claim_ids,decision_claim_ids,final_source_claim_ids,traceable_final_claim_ids,unsupported_final_claim_ids,supported_decisions,refuted_decisions,corrected_decisions,uncertain_decisions,analyst_parse_failed,refuter_parse_failed,final_parse_failed
secvuleval::18494::1660fc139a87,fixed,1,1,1,1,1,1,1,0,1,0,0,0,False,False,False
secvuleval::18098::c6aebee315c5,vulnerable,1,1,1,1,1,1,1,0,1,0,0,0,False,False,False
secvuleval::18098::c6aebee315c5,fixed,1,1,1,1,1,1,1,0,1,0,0,0,False,False,False
secvuleval::15354::9995379f1b42,vulnerable,1,1,1,1,1,1,1,0,1,0,0,0,False,False,False
secvuleval::15354::9995379f1b42,fixed,1,1,1,1,1,1,1,0,1,0,0,0,False,False,False
secvuleval::6700::8c36a5b0fb7c,vulnerable,1,1,1,1,1,1,1,0,1,0,0,0,False,False,False
secvuleval::6700::8c36a5b0fb7c,fixed,1,1,1,1,1,1,1,0,1,0,0,0,False,False,False
secvuleval::6922::5af57658cd6f,vulnerable,1,1,1,1,1,1,1,0,1,0,0,0,False,False,False
secvuleval::6922::5af57658cd6f,fixed,1,1,1,1,1,1,1,0,1,0,0,0,False,False,False
secvuleval::14657::d1de238ba3ac,vulnerable,1,1,1,1,1,1,1,0,1,0,0,0,False,False,False
secvuleval::14657::d1de238ba3ac,fixed,1,1,1,1,1,1,1,0,1,0,0,0,False,False,False
secvuleval::9186::ad4483f76579,vulnerable,1,1,1,1,1,1,1,0,1,0,0,0,False,False,False
secvuleval::9186::ad4483f76579,fixed,1,1,0,1,1,0,0,0,0,1,0,0,False,False,False
secvuleval::6718::bd652884ca87,vulnerable,1,1,1,1,1,1,1,0,1,0,0,0,False,False,False
secvuleval::6718::bd652884ca87,fixed,1,1,1,1,1,1,1,0,1,0,0,0,False,False,False
secvuleval::14485::13f3cb72582d,vulnerable,1,1,1,1,1,1,1,0,1,0,0,0,False,False,False
secvuleval::14485::13f3cb72582d,fixed,1,1,1,1,1,1,1,0,1,0,0,0,False,False,False
secvuleval::12255::df553e632a53,vulnerable,1,1,1,1,1,1,1,0,1,0,0,0,False,False,False
secvuleval::12255::df553e632a53,fixed,1,1,1,1,1,1,1,0,1,0,0,0,False,False,False
secvuleval::11558::15caa2d7c22f,vulnerable,1,1,1,1,1,1,1,0,1,0,0,0,False,False,False
secvuleval::11558::15caa2d7c22f,fixed,1,1,1,1,1,1,1,0,1,0,0,0,False,False,False
secvuleval::18504::e32a8cc5a0c0,vulnerable,1,1,1,1,1,1,1,0,1,0,0,0,False,False,False
secvuleval::18504::e32a8cc5a0c0,fixed,1,1,1,1,1,1,1,0,1,0,0,0,False,False,False
secvuleval::6627::6363df3ea843,vulnerable,1,1,1,1,1,1,1,0,1,0,0,0,False,False,False
secvuleval::6627::6363df3ea843,fixed,1,1,1,1,1,1,1,0,1,0,0,0,False,False,False
secvuleval::6754::d8ecbc753639,vulnerable,1,1,1,1,1,1,1,0,1,0,0,0,False,False,False
secvuleval::6754::d8ecbc753639,fixed,1,1,1,1,1,1,1,0,1,0,0,0,False,False,False
secvuleval::12062::9bbcb48bac5a,vulnerable,1,1,1,1,1,1,1,0,1,0,0,0,False,False,False
secvuleval::12062::9bbcb48bac5a,fixed,1,1,1,1,1,1,1,0,1,0,0,0,False,False,False
secvuleval::16499::6e70f4df9661,vulnerable,1,1,1,1,1,1,1,0,1,0,0,0,False,False,False
secvuleval::16499::6e70f4df9661,fixed,1,1,1,1,1,1,1,0,1,0,0,0,False,False,False
secvuleval::8084::ef88b4a8c879,vulnerable,1,1,1,1,1,1,1,0,1,0,0,0,False,False,False
secvuleval::8084::ef88b4a8c879,fixed,1,1,1,1,1,1,1,0,1,0,0,0,False,False,False
secvuleval::12103::5d37779c2864,vulnerable,1,1,1,1,1,1,1,0,1,0,0,0,False,False,False
secvuleval::12103::5d37779c2864,fixed,1,1,1,1,1,1,1,0,1,0,0,0,False,False,False
secvuleval::18099::185a0e695b6f,vulnerable,1,1,1,1,1,1,1,0,1,0,0,0,False,False,False
secvuleval::18099::185a0e695b6f,fixed,1,1,1,1,1,1,1,0,1,0,0,0,False,False,False
secvuleval::16259::8da0d4e65e18,vulnerable,1,1,1,1,1,1,1,0,1,0,0,0,False,False,False
secvuleval::16259::8da0d4e65e18,fixed,1,1,1,1,1,1,1,0,1,0,0,0,False,False,False
secvuleval::19769::a327e3515ac1,vulnerable,1,1,1,1,1,1,1,0,1,0,0,0,False,False,False
secvuleval::19769::a327e3515ac1,fixed,1,1,1,1,1,1,1,0,1,0,0,0,False,False,False
